Date,Open,High,Low,Close
10/07/2022,"20,055","20,055","19,351","19,549"
10/06/2022,"20,022","20,438","19,890","20,049"
10/05/2022,"20,350","20,402","19,779","20,022"
10/04/2022,"19,590","20,420","19,511","20,350"
10/03/2022,"19,227","19,630","18,945","19,590"
10/02/2022,"19,250","19,391","19,062","19,231"
10/01/2022,"19,425","19,476","19,218","19,250"
09/30/2022,"19,483","20,131","19,198","19,420"
09/29/2022,"19,574","19,726","18,825","19,483"
09/28/2022,"19,055","19,623","18,506","19,565"
09/27/2022,"19,121","20,366","18,854","19,055"
09/26/2022,"18,888","19,288","18,662","19,135"
09/25/2022,"19,138","19,142","18,817","18,888"
09/24/2022,"18,852","19,386","18,813","19,138"
09/23/2022,"19,247","19,481","18,571","18,852"
09/22/2022,"18,918","19,470","18,189","19,247"
09/21/2022,"18,976","19,713","18,808","18,918"
09/20/2022,"19,520","19,663","18,803","18,970"
09/19/2022,"19,721","19,721","18,397","19,520"
09/18/2022,"20,081","20,147","19,597","19,721"
09/17/2022,"19,743","20,178","19,705","20,081"
09/16/2022,"19,836","19,896","19,360","19,743"
09/15/2022,"19,948","20,376","19,555","19,836"
09/14/2022,"20,254","20,487","19,646","19,948"
09/13/2022,"22,396","22,733","20,079","20,254"
09/12/2022,"21,643","22,467","21,500","22,396"
09/11/2022,"21,487","21,860","21,426","21,643"
09/10/2022,"21,285","21,712","21,192","21,487"
09/09/2022,"19,371","21,411","19,258","21,285"
09/08/2022,"19,393","19,450","19,083","19,371"
09/07/2022,"18,962","19,447","18,582","19,393"
